acq_id,registration_datetime,acquisition_datetime,data_ecosystem,instrument,instrument_model,modalities_in_study,operator,data_source,sample_id,sample_type,session_id,primary_kind,primary_file_name,original_name,file_format,file_size_mb,file_count,canonical_path,checksum_present,extended_metadata_present,project_hint,ingest_config,notes
ACQ-20240520-XMRI-001,2026-03-10T10:36:16Z,2024-05-20T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_2.17,cardiac MRI study,,,ACQ-20240520-XMRI-001.zip,LEONE_2.17.zip,.zip,702.0,4,/raw/DICOM/2024/2024-05/ACQ-20240520-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20240620-XMRI-001,2026-03-10T10:39:05Z,2024-06-20T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_2.18,cardiac MRI study,,,ACQ-20240620-XMRI-001.zip,LEONE_2.18.zip,.zip,1121.4,4,/raw/DICOM/2024/2024-06/ACQ-20240620-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20240620-XMRI-002,2026-03-10T10:41:17Z,2024-06-20T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_2.19,cardiac MRI study,,,ACQ-20240620-XMRI-002.zip,LEONE_2.19.zip,.zip,827.1,4,/raw/DICOM/2024/2024-06/ACQ-20240620-XMRI-002/,Y,Y,PROJ-0001,,
ACQ-20241217-XMRI-001,2026-03-10T10:43:54Z,2024-12-17T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_2.20,cardiac MRI study,,,ACQ-20241217-XMRI-001.zip,LEONE_2.20.zip,.zip,1046.3,4,/raw/DICOM/2024/2024-12/ACQ-20241217-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20220124-XMRI-002,2026-03-10T10:46:02Z,2022-01-24T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_3.02,cardiac MRI study,,,ACQ-20220124-XMRI-002.zip,LEONE_3.02.zip,.zip,895.2,4,/raw/DICOM/2022/2022-01/ACQ-20220124-XMRI-002/,Y,Y,PROJ-0001,,
ACQ-20220321-XMRI-001,2026-03-10T10:48:24Z,2022-03-21T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_3.03,cardiac MRI study,,,ACQ-20220321-XMRI-001.zip,LEONE_3.03.zip,.zip,968.4,4,/raw/DICOM/2022/2022-03/ACQ-20220321-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20220518-XMRI-001,2026-03-10T10:50:46Z,2022-05-18T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_3.04,cardiac MRI study,,,ACQ-20220518-XMRI-001.zip,LEONE_3.04.zip,.zip,1001.4,4,/raw/DICOM/2022/2022-05/ACQ-20220518-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20220816-XMRI-001,2026-03-10T10:53:07Z,2022-08-16T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_3.05,cardiac MRI study,,,ACQ-20220816-XMRI-001.zip,LEONE_3.05.zip,.zip,950.3,4,/raw/DICOM/2022/2022-08/ACQ-20220816-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20230601-XMRI-001,2026-03-10T10:55:09Z,2023-06-01T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_3.06,cardiac MRI study,,,ACQ-20230601-XMRI-001.zip,LEONE_3.06.zip,.zip,744.3,4,/raw/DICOM/2023/2023-06/ACQ-20230601-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20240403-XMRI-001,2026-03-10T10:57:44Z,2024-04-03T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_3.07,cardiac MRI study,,,ACQ-20240403-XMRI-001.zip,LEONE_3.07.zip,.zip,1089.1,4,/raw/DICOM/2024/2024-04/ACQ-20240403-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20231103-XMRI-001,2026-03-10T10:59:55Z,2023-11-03T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_3.08,cardiac MRI study,,,ACQ-20231103-XMRI-001.zip,LEONE_3.08.zip,.zip,857.9,4,/raw/DICOM/2023/2023-11/ACQ-20231103-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20231102-XMRI-001,2026-03-10T11:01:13Z,2023-11-02T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_3.09,cardiac MRI study,,,ACQ-20231102-XMRI-001.zip,LEONE_3.09.zip,.zip,484.7,4,/raw/DICOM/2023/2023-11/ACQ-20231102-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20240424-XMRI-001,2026-03-10T11:03:45Z,2024-04-24T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_3.11,cardiac MRI study,,,ACQ-20240424-XMRI-001.zip,LEONE_3.11.zip,.zip,1055.4,4,/raw/DICOM/2024/2024-04/ACQ-20240424-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20250102-XMRI-001,2026-03-10T11:05:58Z,2025-01-02T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_3.12,cardiac MRI study,,,ACQ-20250102-XMRI-001.zip,LEONE_3.12.zip,.zip,884.2,4,/raw/DICOM/2025/2025-01/ACQ-20250102-XMRI-001/,Y,Y,PROJ-0001,,
