acq_id,original_name,canonical_path
ACQ-20250107-CELL-023,HLF_colageno_10x_control_2.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-023/
ACQ-20250107-CELL-024,HLF_colageno_10x_control_3.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-024/
ACQ-20250107-CELL-025,HLF_colageno_10x_control_4.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-025/
ACQ-20250107-CELL-026,HLF_colageno_10x_control_5.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-026/
ACQ-20250107-CELL-027,HLF_colageno_10x_control_6.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-027/
ACQ-20250107-CELL-028,HLF_colageno_10x_control_7.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-028/
ACQ-20250107-CELL-029,HLF_colageno_10x_control_8.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-029/
ACQ-20250107-CELL-030,HLF_colageno_10x_control_9.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-030/
ACQ-20250107-CELL-031,HLF_alphasma_10x tiles_CS-miR-ctrl_1.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-031/
ACQ-20250107-CELL-032,HLF_alphasma_10x_CC-miR-29a_1.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-032/
ACQ-20250107-CELL-033,HLF_alphasma_10x_CC-miR-29a_10.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-033/
ACQ-20250107-CELL-034,HLF_alphasma_10x_CC-miR-29a_2.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-034/
ACQ-20250107-CELL-035,HLF_alphasma_10x_CC-miR-29a_3.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-035/
ACQ-20250107-CELL-036,HLF_alphasma_10x_CC-miR-29a_4.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-036/
ACQ-20250107-CELL-037,HLF_alphasma_10x_CC-miR-29a_5.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-037/
ACQ-20250107-CELL-038,HLF_alphasma_10x_CC-miR-29a_6.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-038/
ACQ-20250107-CELL-039,HLF_alphasma_10x_CC-miR-29a_7.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-039/
ACQ-20250107-CELL-040,HLF_alphasma_10x_CC-miR-29a_8.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-040/
ACQ-20250107-CELL-041,HLF_alphasma_10x_CC-miR-29a_9.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-041/
ACQ-20250107-CELL-042,HLF_alphasma_10x_CS-miR-29a_1.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-042/
ACQ-20250107-CELL-043,HLF_alphasma_10x_CS-miR-29a_10.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-043/
ACQ-20250107-CELL-044,HLF_alphasma_10x_CS-miR-29a_2.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-044/
ACQ-20250107-CELL-045,HLF_alphasma_10x_CS-miR-29a_3.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-045/
ACQ-20250107-CELL-046,HLF_alphasma_10x_CS-miR-29a_4.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-046/
ACQ-20250107-CELL-047,HLF_alphasma_10x_CS-miR-29a_5.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-047/
ACQ-20250107-CELL-048,HLF_alphasma_10x_CS-miR-29a_6.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-048/
ACQ-20250107-CELL-049,HLF_alphasma_10x_CS-miR-29a_7.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-049/
ACQ-20250107-CELL-050,HLF_alphasma_10x_CS-miR-29a_8.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-050/
ACQ-20250107-CELL-051,HLF_alphasma_10x_CS-miR-29a_9.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-051/
ACQ-20250107-CELL-052,HLF_alphasma_10x_CS-miR-ctrl_1.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-052/
